Timestamp,Node,Port,CPU%,MEM%,Disk%,RPC_Latency_ms,TxPool_Size,Block_Height,Active_Validators,Network_In_Bytes,Network_Out_Bytes
2026-01-01 15:10:04,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:04,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,1,8545,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,1,8545,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:10,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:15,1,8545,0,0,15,15,0,1,4,0,0
2026-01-01 15:10:15,1,8545,0,0,15,15,0,1,4,0,0
2026-01-01 15:10:15,2,8547,0,0,15,7,0,1,4,0,0
2026-01-01 15:10:15,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:15,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:15,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:15,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:15,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:20,1,8545,0,0,15,20,0,1,4,0,0
2026-01-01 15:10:20,1,8545,0,0,15,19,0,1,4,0,0
2026-01-01 15:10:20,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:20,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:20,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:20,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:20,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:20,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:25,1,8545,0,0,15,9,0,1,4,0,0
2026-01-01 15:10:25,1,8545,0,0,15,9,0,1,4,0,0
2026-01-01 15:10:25,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:25,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:25,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:25,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:25,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:25,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:30,1,8545,0,0,15,13,0,1,4,0,0
2026-01-01 15:10:30,1,8545,0,0,15,13,0,1,4,0,0
2026-01-01 15:10:30,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:30,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:30,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:30,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:30,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:30,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:35,1,8545,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:35,1,8545,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:35,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:35,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:35,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:35,3,8549,0,0,15,10,0,1,4,0,0
2026-01-01 15:10:35,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:35,4,8551,0,0,15,9,0,1,4,0,0
2026-01-01 15:10:41,1,8545,0,0,15,14,0,1,4,0,0
2026-01-01 15:10:41,1,8545,0,0,15,14,0,1,4,0,0
2026-01-01 15:10:41,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:41,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:41,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:41,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:41,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:41,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:46,1,8545,0,0,15,14,0,1,4,0,0
2026-01-01 15:10:46,1,8545,0,0,15,13,0,1,4,0,0
2026-01-01 15:10:46,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:46,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:46,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:46,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:46,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:46,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:51,1,8545,0,0,15,10,0,1,4,0,0
2026-01-01 15:10:51,1,8545,0,0,15,10,0,1,4,0,0
2026-01-01 15:10:51,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:51,2,8547,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:51,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:51,3,8549,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:51,4,8551,0,0,15,8,0,1,4,0,0
2026-01-01 15:10:51,4,8551,0,0,15,7,0,1,4,0,0
2026-01-01 15:10:56,1,8545,0,0,15,10,0,1,4,0,0
2026-01-01 15:10:56,1,8545,0,0,15,10,0,1,4,0,0
